
987, 1, 
987, 900@DX!teta: 1, 15, 15, vtx:, 10, 90, 
sigma: , 9, 
[], 
------------------------------, 
****************************************, 
AVGerrorSpeed:, 2.29e-05, of , 15242, records, 
AVGabsErr:, 0.00409, of , 15242, records speed, 
AVGabsErrSpeed:, 0.000112, of , 15242, records speed, 
****************************************************************************************************, 
 , 
987, 1, 
alfa:, 987, postAlfa:, 0.9995, minutes count, last, next:, 10130, 20, 10, 
sigma: , 9, 
[], 
------------------------------, 
****************************************, 
20, 0.000501, of, 4634, records,   speed:, 2.5e-05, 
40, 0.000861, of, 4268, records,   speed:, 2.2e-05, 
60, 0.001105, of, 2772, records,   speed:, 1.8e-05, 
80, 0.002179, of, 1678, records,   speed:, 2.7e-05, 
100, 0.003012, of, 810, records,   speed:, 3e-05, 
120, 0.003275, of, 352, records,   speed:, 2.7e-05, 
140, 0.004168, of, 507, records,   speed:, 3e-05, 
20, 0.003153, of, 4634, records,   speed:, 0.000158, 
40, 0.00302, of, 4268, records,   speed:, 7.5e-05, 
60, 0.002835, of, 2772, records,   speed:, 4.7e-05, 
80, 0.003429, of, 1678, records,   speed:, 4.3e-05, 
100, 0.004111, of, 810, records,   speed:, 4.1e-05, 
120, 0.004562, of, 352, records,   speed:, 3.8e-05, 
140, 0.005074, of, 507, records,   speed:, 3.6e-05, 
AVG error:, 0.0012265, of , 15021, records, 
AVGerrorSpeed:, 2.36e-05, of , 15021, records, 
AVGabsErr:, 0.0032368, of , 15021, records speed, 
AVGabsErrSpeed:, 8.79e-05, of , 15021, records speed, 
****************************************************************************************************, 
 , 
987, 1, 
alfa:, 987, postAlfa:, 0.9995, minutes count, last, next:, 10130, 20, 3, 
sigma: , 9, 
[], 
------------------------------, 
****************************************, 
20, 0.000376, of, 3756, records,   speed:, 1.9e-05, 
40, 0.000875, of, 3381, records,   speed:, 2.2e-05, 
60, 0.001249, of, 2184, records,   speed:, 2.1e-05, 
80, 0.001987, of, 1360, records,   speed:, 2.5e-05, 
100, 0.002789, of, 630, records,   speed:, 2.8e-05, 
120, 0.002893, of, 291, records,   speed:, 2.4e-05, 
140, 0.003519, of, 438, records,   speed:, 2.5e-05, 
20, 0.002719, of, 3756, records,   speed:, 0.000136, 
40, 0.002696, of, 3381, records,   speed:, 6.7e-05, 
60, 0.002683, of, 2184, records,   speed:, 4.5e-05, 
80, 0.002925, of, 1360, records,   speed:, 3.7e-05, 
100, 0.003737, of, 630, records,   speed:, 3.7e-05, 
120, 0.004077, of, 291, records,   speed:, 3.4e-05, 
140, 0.004503, of, 438, records,   speed:, 3.2e-05, 
AVG error:, 0.0011578, of , 12040, records, 
AVGerrorSpeed:, 2.15e-05, of , 12040, records, 
AVGabsErr:, 0.0028801, of , 12040, records speed, 
AVGabsErrSpeed:, 7.75e-05, of , 12040, records speed, 
****************************************************************************************************, 
 , 
987, 1, 
alfa:, 987, postAlfa:, 0.9995, minutes count, last, next:, 10130, 20, 5, zeta 15
sigma: , 9, 
[], 
------------------------------, 
****************************************, 
20, 0.000393, of, 4217, records,   speed:, 2e-05, 
40, 0.000875, of, 3901, records,   speed:, 2.2e-05, 
60, 0.001169, of, 2528, records,   speed:, 1.9e-05, 
80, 0.00201, of, 1543, records,   speed:, 2.5e-05, 
100, 0.002816, of, 727, records,   speed:, 2.8e-05, 
120, 0.002906, of, 321, records,   speed:, 2.4e-05, 
140, 0.003736, of, 477, records,   speed:, 2.7e-05, 
20, 0.002865, of, 4217, records,   speed:, 0.000143, 
40, 0.002755, of, 3901, records,   speed:, 6.9e-05, 
60, 0.002683, of, 2528, records,   speed:, 4.5e-05, 
80, 0.003048, of, 1543, records,   speed:, 3.8e-05, 
100, 0.003762, of, 727, records,   speed:, 3.8e-05, 
120, 0.004199, of, 321, records,   speed:, 3.5e-05, 
140, 0.004701, of, 477, records,   speed:, 3.4e-05, 
AVG error:, 0.0011586, of , 13714, records, 
AVGerrorSpeed:, 2.17e-05, of , 13714, records, 
AVGabsErr:, 0.0029632, of , 13714, records speed, 
AVGabsErrSpeed:, 8.01e-05, of , 13714, records speed, 
****************************************************************************************************, 
 , 
987, 1, 
987, 1, 
alfa:, 987, postAlfa:, 0.9995, minutes count, last, next:, 10130, 20, 5, zeta:, 10, 
sigma: , 9, 
[], 
------------------------------, 
****************************************, 
20, 0.000897, of, 9889, records,   speed:, 4.5e-05, 
40, 0.002063, of, 2742, records,   speed:, 5.2e-05, 
60, 0.003746, of, 657, records,   speed:, 6.2e-05, 
80, 0.004579, of, 190, records,   speed:, 5.7e-05, 
100, 0.002691, of, 103, records,   speed:, 2.7e-05, 
120, 0.004246, of, 21, records,   speed:, 3.5e-05, 
140, 0.004602, of, 112, records,   speed:, 3.3e-05, 
20, 0.002726, of, 9889, records,   speed:, 0.000136, 
40, 0.00314, of, 2742, records,   speed:, 7.9e-05, 
60, 0.004576, of, 657, records,   speed:, 7.6e-05, 
80, 0.005038, of, 190, records,   speed:, 6.3e-05, 
100, 0.004456, of, 103, records,   speed:, 4.5e-05, 
120, 0.00523, of, 21, records,   speed:, 4.4e-05, 
140, 0.004826, of, 112, records,   speed:, 3.4e-05, 
AVG error:, 0.0013666, of , 13714, records, 
AVGerrorSpeed:, 4.7e-05, of , 13714, records, 
AVGabsErr:, 0.0029632, of , 13714, records speed, 
AVGabsErrSpeed:, 0.0001192, of , 13714, records speed, 
****************************************************************************************************, 
 , 
987, 1, 
alfa:, 987, postAlfa:, 0.9995, minutes count, last, next:, 10130, 20, 10, zeta:, 10, 
sigma: , 9, 
[], 
------------------------------, 
****************************************, 
20, 0.000903, of, 10886, records,   speed:, 4.5e-05, 
40, 0.00214, of, 2990, records,   speed:, 5.3e-05, 
60, 0.004333, of, 692, records,   speed:, 7.2e-05, 
80, 0.004751, of, 203, records,   speed:, 5.9e-05, 
100, 0.003093, of, 111, records,   speed:, 3.1e-05, 
120, 0.004529, of, 27, records,   speed:, 3.8e-05, 
140, 0.005066, of, 112, records,   speed:, 3.6e-05, 
20, 0.002983, of, 10886, records,   speed:, 0.000149, 
40, 0.003406, of, 2990, records,   speed:, 8.5e-05, 
60, 0.005294, of, 692, records,   speed:, 8.8e-05, 
80, 0.005139, of, 203, records,   speed:, 6.4e-05, 
100, 0.004656, of, 111, records,   speed:, 4.7e-05, 
120, 0.005246, of, 27, records,   speed:, 4.4e-05, 
140, 0.005328, of, 112, records,   speed:, 3.8e-05, 
AVG error:, 0.0014129, of , 15021, records, 
AVGerrorSpeed:, 4.81e-05, of , 15021, records, 
AVGabsErr:, 0.0032368, of , 15021, records speed, 
AVGabsErrSpeed:, 0.0001307, of , 15021, records speed, 
****************************************************************************************************, 
 , 
987, 1, 
alfa:, 987, postAlfa:, 0.9995, minutes count, last, next:, 10130, 20, 10, zeta:, 5, 
sigma: , 9, 
[], 
------------------------------, 
****************************************, 
20, 9.3e-05, of, 900, records,   speed:, 5e-06, 
40, 0.000153, of, 889, records,   speed:, 4e-06, 
60, 0.000677, of, 822, records,   speed:, 1.1e-05, 
80, 0.000651, of, 891, records,   speed:, 8e-06, 
100, 0.000614, of, 911, records,   speed:, 6e-06, 
120, 0.00048, of, 819, records,   speed:, 4e-06, 
140, 0.000757, of, 9789, records,   speed:, 5e-06, 
20, 0.003357, of, 900, records,   speed:, 0.000168, 
40, 0.00311, of, 889, records,   speed:, 7.8e-05, 
60, 0.003291, of, 822, records,   speed:, 5.5e-05, 
