0.98, 900@DX!teta: 0.0, 15, 3, vtx:, 10, 90, 
sigma: , 9, 
[], 
------------------------------, 
****************************************, 
14, 0.001125, of, 33, records,   speed:, 8e-05, 
15, 0.001918, of, 27, records,   speed:, 0.000128, 
16, 0.001658, of, 19, records,   speed:, 0.000104, 
17, 0.000552, of, 27, records,   speed:, 3.2e-05, 
18, 0.000834, of, 17, records,   speed:, 4.6e-05, 
19, 0.000562, of, 18, records,   speed:, 3e-05, 
20, 0.002729, of, 11, records,   speed:, 0.000136, 
-20, 0.001604, of, 14, records,   speed:, 8e-05, 
-19, 0.002466, of, 19, records,   speed:, 0.00013, 
-18, 0.002854, of, 18, records,   speed:, 0.000159, 
-17, 0.002749, of, 11, records,   speed:, 0.000162, 
-16, 0.002435, of, 23, records,   speed:, 0.000152, 
-15, 0.002737, of, 18, records,   speed:, 0.000182, 
-14, 0.001673, of, 31, records,   speed:, 0.00012, 
-13, 0.002041, of, 40, records,   speed:, 0.000157, 
-12, 0.002165, of, 46, records,   speed:, 0.00018, 
-11, 0.00231, of, 63, records,   speed:, 0.00021, 
-10, 0.002552, of, 77, records,   speed:, 0.000255, 
-9, 0.002325, of, 94, records,   speed:, 0.000258, 
-8, 0.00255, of, 118, records,   speed:, 0.000319, 
-7, 0.002235, of, 155, records,   speed:, 0.000319, 
-6, 0.002211, of, 207, records,   speed:, 0.000368, 
-5, 0.002407, of, 253, records,   speed:, 0.000481, 
-4, 0.002324, of, 292, records,   speed:, 0.000581, 
-3, 0.002396, of, 367, records,   speed:, 0.000799, 
-2, 0.002164, of, 384, records,   speed:, 0.001082, 
-1, 0.002473, of, 656, records,   speed:, 0.002473, 
1, 0.002482, of, 657, records,   speed:, 0.002482, 
2, 0.002212, of, 371, records,   speed:, 0.001106, 
3, 0.002466, of, 341, records,   speed:, 0.000822, 
4, 0.002466, of, 271, records,   speed:, 0.000616, 
5, 0.002754, of, 248, records,   speed:, 0.000551, 
6, 0.002518, of, 165, records,   speed:, 0.00042, 
7, 0.002761, of, 128, records,   speed:, 0.000394, 
8, 0.002557, of, 128, records,   speed:, 0.00032, 
9, 0.002724, of, 88, records,   speed:, 0.000303, 
10, 0.002543, of, 67, records,   speed:, 0.000254, 
11, 0.00267, of, 56, records,   speed:, 0.000243, 
12, 0.002796, of, 62, records,   speed:, 0.000233, 
13, 0.003652, of, 29, records,   speed:, 0.000281, 
14, 0.002141, of, 33, records,   speed:, 0.000153, 
15, 0.002834, of, 27, records,   speed:, 0.000189, 
16, 0.00238, of, 19, records,   speed:, 0.000149, 
17, 0.001926, of, 27, records,   speed:, 0.000113, 
18, 0.001441, of, 17, records,   speed:, 8e-05, 
19, 0.001842, of, 18, records,   speed:, 9.7e-05, 
20, 0.003244, of, 11, records,   speed:, 0.000162, 
AVG error:, -1.2e-05, of , 5881, records, 
AVGerrorSpeed:, -2.2e-05, of , 5881, records, 
AVGabsErr:, 0.0024235, of , 5881, records speed, 
AVGabsErrSpeed:, 0.0009831, of , 5881, records speed, 
****************************************************************************************************, 
 , 
0.98, 900@DX!teta: 1.2, 15, 3, vtx:, 10, 90, 
sigma: , 9, 
[], 
------------------------------, 
****************************************, 
-20, -0.000804, of, 19, records,   speed:, -4e-05, 
-19, -0.000799, of, 8, records,   speed:, -4.2e-05, 
-18, -0.00166, of, 13, records,   speed:, -9.2e-05, 
-17, -0.000539, of, 16, records,   speed:, -3.2e-05, 
-16, -0.000587, of, 24, records,   speed:, -3.7e-05, 
-15, -0.001057, of, 40, records,   speed:, -7e-05, 
-14, -0.001068, of, 39, records,   speed:, -7.6e-05, 
-13, -0.000855, of, 33, records,   speed:, -6.6e-05, 
-12, -0.001109, of, 51, records,   speed:, -9.2e-05, 
-11, -0.001653, of, 68, records,   speed:, -0.00015, 
