0.98, 1000@20, 15, 2, vtx:, 10, 90, 
sigma: , 9, 
[], 
------------------------------, 
****************************************, 
17, -4.8e-05, of, 13, records,   speed:, -3e-06, 
18, 0.00145, of, 11, records,   speed:, 8.1e-05, 
19, 0.002677, of, 5, records,   speed:, 0.000141, 
20, 0.000976, of, 5, records,   speed:, 4.9e-05, 
21, 0.001688, of, 6, records,   speed:, 8e-05, 
22, 0.001505, of, 4, records,   speed:, 6.8e-05, 
23, 0.00231, of, 2, records,   speed:, 0.0001, 
24, 0.000176, of, 1, records,   speed:, 7e-06, 
25, 0.003683, of, 3, records,   speed:, 0.000147, 
26, -0.001292, of, 3, records,   speed:, -5e-05, 
27, 0.002106, of, 3, records,   speed:, 7.8e-05, 
28, 0.002893, of, 2, records,   speed:, 0.000103, 
29, 0.000122, of, 1, records,   speed:, 4e-06, 
30, 0.000694, of, 1, records,   speed:, 2.3e-05, 
32, 0.002186, of, 1, records,   speed:, 6.8e-05, 
33, 0.000219, of, 2, records,   speed:, 7e-06, 
35, 0.001867, of, 2, records,   speed:, 5.3e-05, 
37, -0.00487, of, 1, records,   speed:, -0.000132, 
39, 4.4e-05, of, 2, records,   speed:, 1e-06, 
40, 0.001119, of, 1, records,   speed:, 2.8e-05, 
43, 0.002843, of, 1, records,   speed:, 6.6e-05, 
45, 5.9e-05, of, 1, records,   speed:, 1e-06, 
46, -0.000629, of, 1, records,   speed:, -1.4e-05, 
49, 0.002843, of, 1, records,   speed:, 5.8e-05, 
61, 0.004177, of, 1, records,   speed:, 6.8e-05, 
78, 0.000153, of, 1, records,   speed:, 2e-06, 

0.98, 900@DX!teta: 0.0, 15, 2, vtx:, 10, 90, 
sigma: , 9, 
[], 
------------------------------, 
****************************************, 
-20, 0.001051, of, 2, records,   speed:, 5.3e-05, 
-19, -0.00075, of, 6, records,   speed:, -3.9e-05, 
-18, -0.001688, of, 12, records,   speed:, -9.4e-05, 
-17, 9.8e-05, of, 9, records,   speed:, 6e-06, 
-16, -0.00107, of, 10, records,   speed:, -6.7e-05, 
-15, -0.001833, of, 11, records,   speed:, -0.000122, 
-14, -0.000407, of, 16, records,   speed:, -2.9e-05, 
-13, -0.000391, of, 30, records,   speed:, -3e-05, 
-12, -0.002692, of, 17, records,   speed:, -0.000224, 
-11, -0.001181, of, 29, records,   speed:, -0.000107, 
-10, -0.000894, of, 39, records,   speed:, -8.9e-05, 
-9, -0.001746, of, 48, records,   speed:, -0.000194, 
